Province,Confirm,ma
An Giang,43.297,89
Bà Rịa - Vũng Tàu,110.822,77
Bạc Liêu,46.949,95
Bắc Giang,391.44,24
Bắc Kạn,77.048,6
Bắc Ninh,353.869,27
Bến Tre,99.799,83
Bình Dương,325.667,74
Bình Định,139.89,52
Bình Phước,120.003,70
Bình Thuận,54.3,60
Cà Mau,147.734,96
Cao Bằng,99.051,4
Cần Thơ,76.925,92
Đà Nẵng,108.712,48
Đắk Lắk,172.439,66
Đắk Nông,73.427,67
Điện Biên,90.757,11
Đồng Nai,107.518,75
Đồng Tháp,51.614,87
Gia Lai,70.961,64
Hà Giang,122.61,2
Hà Nam,91.467,35
Hà Nội,1.646.923,1
Hà Tĩnh,55.279,42
Hải Dương,372.391,30
Hải Phòng,537.527,31
Hậu Giang,17.9,93
Hoà Bình,239.941,17
Hưng Yên,244.028,33
Khánh Hòa,122.036,56
Kiên Giang,43.659,91
Kon Tum,26.342,62
Lai Châu,75.519,12
Lạng Sơn,160.752,20
Lào Cai,188.846,10
Lâm Đồng,98.238,68
Long An,50.297,80
Nam Định,301.101,36
Nghệ An,502.049,40
Ninh Bình,104.8,37
Ninh Thuận,9.001,58
Phú Thọ,331.52,25
Phú Yên,44.481,54
Quảng Bình,129.648,44
Quảng Nam,49.556,49
Quảng Ngãi,50.513,51
Quảng Ninh,356.404,22
Quảng Trị,86.293,45
Sóc Trăng,34.457,94
Sơn La,153.602,14
Tây Ninh,140.444,72
Thái Bình,296.789,34
Thái Nguyên,347.519,19
Thanh Hóa,178.595,38
Thừa Thiên Huế,48.186,46
Tiền Giang,39.902,82
TP. Hồ Chí Minh,629.018,79
Trà Vinh,75.174,84
Tuyên Quang,147.582,8
Vĩnh Long,103.505,86
Vĩnh Phúc,375.686,26
Yên Bái,158.046,15
